CASHFLOW.ICS    (Cashflow)|0|0.00|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|
     SPF  (Forecasted Sales Annuity Factor)||0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
     SF  (Forecasted Sales)|Cost/Period|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
     S  (Total Sales)|Cost/Period|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
Expenses|||||||||||||||||||||||
     CAP  (Capital Costs)|Cost/Period|0|3.63209e+006|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
          Unescalated Cumulative Capital Cost|Cost/Period|0.00|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|3.29441e+006|
          Capital Cost|Cost/period|0.00|3.45913e+006|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
          Cumulative Capital Cost |Cost/period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
          Working Capital|Cost/period|0|172957|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
     OP  (Operating Costs)|Cost/Period|0.00|2.95043e+006|5.10172e+006|5.25906e+006|5.42126e+006|5.58849e+006|5.7609e+006|5.93864e+006|6.12189e+006|6.31081e+006|6.50559e+006|6.7064e+006|6.91343e+006|7.12688e+006|7.34694e+006|7.57382e+006|7.80774e+006|8.04891e+006|8.29755e+006|8.55391e+006|8.81822e+006|
          Raw Materials|Cost/period|0.00|493613|856976|886971|918015|950145|983400|1.01782e+006|1.05344e+006|1.09031e+006|1.12847e+006|1.16797e+006|1.20885e+006|1.25116e+006|1.29495e+006|1.34027e+006|1.38718e+006|1.43573e+006|1.48599e+006|1.53799e+006|1.59182e+006|
          Operating Labor Cost|Cost/period|0.00|368423|636540|655636|675305|695564|716431|737924|760062|782864|806350|830540|855457|881120|907554|934780|962824|991709|1.02146e+006|1.0521e+006|1.08367e+006|
          Maintenance Cost|Cost/period|0.00|15166.8|26204.2|26990.4|27800.1|28634.1|29493.1|30377.9|31289.2|32227.9|33194.7|34190.6|35216.3|36272.8|37361|38481.8|39636.2|40825.3|42050.1|43311.6|44610.9|
          Utilities|Cost/period|0.00|1.78933e+006|3.09149e+006|3.18424e+006|3.27977e+006|3.37816e+006|3.4795e+006|3.58389e+006|3.6914e+006|3.80215e+006|3.91621e+006|4.0337e+006|4.15471e+006|4.27935e+006|4.40773e+006|4.53996e+006|4.67616e+006|4.81645e+006|4.96094e+006|5.10977e+006|5.26306e+006|
          Operating Charges|Cost/period|0.00|92105.8|159135|163909|168826|173891|179108|184481|190016|195716|201587|207635|213864|220280|226888|233695|240706|247927|255365|263026|270917|
          Plant Overhead|Cost/period|0.00|191795|331372|341313|351553|362099|372962|384151|395676|407546|419772|432365|445336|458697|472457|486631|501230|516267|531755|547708|564139|
          Subtotal Operating Costs|Cost/period|0.00|2.95043e+006|5.10172e+006|5.25906e+006|5.42126e+006|5.58849e+006|5.7609e+006|5.93864e+006|6.12189e+006|6.31081e+006|6.50559e+006|6.7064e+006|6.91343e+006|7.12688e+006|7.34694e+006|7.57382e+006|7.80774e+006|8.04891e+006|8.29755e+006|8.55391e+006|8.81822e+006|
          G and A Costs|Cost/period|0.00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
R  (Revenue)|Cost/Period|0|-6.58252e+006|-5.10172e+006|-5.25906e+006|-5.42126e+006|-5.58849e+006|-5.7609e+006|-5.93864e+006|-6.12189e+006|-6.31081e+006|-6.50559e+006|-6.7064e+006|-6.91343e+006|-7.12688e+006|-7.34694e+006|-7.57382e+006|-7.80774e+006|-8.04891e+006|-8.29755e+006|-8.55391e+006|-8.81822e+006|
|||||||||||||||||||||||
DEP  (Depreciation Expense)|Cost/Period|0.00|263553|263553|263553|263553|263553|263553|263553|263553|263553|263553|0|0|0|0|0|0|0|0|0|0|
E  (Earnings Before Taxes)|Cost/Period|0|-6.84607e+006|-5.36527e+006|-5.52261e+006|-5.68482e+006|-5.85205e+006|-6.02445e+006|-6.20219e+006|-6.38544e+006|-6.57437e+006|-6.76914e+006|-6.7064e+006|-6.91343e+006|-7.12688e+006|-7.34694e+006|-7.57382e+006|-7.80774e+006|-8.04891e+006|-8.29755e+006|-8.55391e+006|-8.81822e+006|
TAX  (Taxes)|Cost/Period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
NE  (Net  Earnings)|Cost/Period|0|-6.84607e+006|-5.36527e+006|-5.52261e+006|-5.68482e+006|-5.85205e+006|-6.02445e+006|-6.20219e+006|-6.38544e+006|-6.57437e+006|-6.76914e+006|-6.7064e+006|-6.91343e+006|-7.12688e+006|-7.34694e+006|-7.57382e+006|-7.80774e+006|-8.04891e+006|-8.29755e+006|-8.55391e+006|-8.81822e+006|
TED  (Total Earnings)|Cost/Period|0|-6.58252e+006|-5.10172e+006|-5.25906e+006|-5.42126e+006|-5.58849e+006|-5.7609e+006|-5.93864e+006|-6.12189e+006|-6.31081e+006|-6.50559e+006|-6.7064e+006|-6.91343e+006|-7.12688e+006|-7.34694e+006|-7.57382e+006|-7.80774e+006|-8.04891e+006|-8.29755e+006|-8.55391e+006|-8.81822e+006|
TEX  (Total Expenses (Excludes Taxes and Depreciation))|Cost/Period|0|6.58252e+006|5.10172e+006|5.25906e+006|5.42126e+006|5.58849e+006|5.7609e+006|5.93864e+006|6.12189e+006|6.31081e+006|6.50559e+006|6.7064e+006|6.91343e+006|7.12688e+006|7.34694e+006|7.57382e+006|7.80774e+006|8.04891e+006|8.29755e+006|8.55391e+006|8.81822e+006|
CF  (CashFlow for Project)|Cost/Period|0|-6.58252e+006|-5.10172e+006|-5.25906e+006|-5.42126e+006|-5.58849e+006|-5.7609e+006|-5.93864e+006|-6.12189e+006|-6.31081e+006|-5.68199e+006|0|0|0|0|0|0|0|0|0|0|
||||| | | | | | | | | | | | | | | | | | |
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
FVI  (Future Value of Cumulative Cash Inflows)|Cost/Period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
PVI  (Present Value of Cumulative Cash Inflows)|Cost/Period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
PVOS  (Present Value of Cumulative Cash Outflows, Sales)|Cost/Period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
PVOP  (Present Value of Cumulative Cash Outflows, Products)|Cost/Period|0|5.48543e+006|9.02829e+006|1.20717e+007|1.46862e+007|1.6932e+007|1.88614e+007|2.05187e+007|2.19425e+007|2.31656e+007|2.42162e+007|2.51188e+007|2.58942e+007|2.65603e+007|2.71326e+007|2.76241e+007|2.80465e+007|2.84092e+007|2.87209e+007|2.89887e+007|2.92187e+007|
PVO  (Present Value of Cumulative Cash Outflows)||0|5.48543e+006|9.02829e+006|1.20717e+007|1.46862e+007|1.6932e+007|1.88614e+007|2.05187e+007|2.19425e+007|2.31656e+007|2.42162e+007|2.51188e+007|2.58942e+007|2.65603e+007|2.71326e+007|2.76241e+007|2.80465e+007|2.84092e+007|2.87209e+007|2.89887e+007|2.92187e+007|
PV  (Present Value of Cash Flows)|Cost/Period|0|-5.48543e+006|-3.54286e+006|-3.04344e+006|-2.61442e+006|-2.24589e+006|-1.92931e+006|-1.65737e+006|-1.42376e+006|-1.22308e+006|-1.05069e+006|-902601|-775387|-666106|-572228|-491583|-422304|-362790|-311665|-267745|-230015|
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
NPV  (Net Present Value)|Cost/Period|0|-5.48543e+006|-9.02829e+006|-1.20717e+007|-1.46862e+007|-1.6932e+007|-1.88614e+007|-2.05187e+007|-2.19425e+007|-2.31656e+007|-2.40832e+007|0|0|0|0|0|0|0|0|0|0|
IRR  (Internal Rate of Return)|Percent|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
MIRR  (Modified Internal Rate of Return)|Percent|-100|0|0|0|0|0|0|0|0|0|-100|0|0|0|0|0|0|0|0|0|0|
NRR  (Net Return Rate)|Percent|-99.4507|0|0|0|0|0|0|0|0|0|-99.4507|0|0|0|0|0|0|0|0|0|0|
PO  (Payout  Period)|Period|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
ARR  (Accounting Rate of Return)|Percent|-309.749|0|0|0|0|0|0|0|0|0|-309.749|0|0|0|0|0|0|0|0|0|0|
PI  (Profitability  Index)||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|*** ANALYSIS ***||||||||||||||||||||||
|||||||||||||||||||||||
ITEM|TRAIT EXAMINED||||||||||||||||||||||
Net Present Value|Sign|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Modified Internal Rate of Return|Sign|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Net Return Rate|Sign|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Accounting Rate of Return|Sign|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Profitability Index| < 1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|||||||||||||||||||||||
|||||||||||||||||||||||
COMMENTS:|||||||||||||||||||||||
1.  Net Present Value analysis and Rate of Return analysis may yield conflicting results.  When this occurs, the results from the net present value analysis should be followed.|||||||||||||||||||||||
2.   For TRAIT EXAMINED, symbols mean: ( - ) = "appears unprofitable"; 0 =  "breakeven"; +++ = "appears profitable"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
DEPRECIATION CALCULATIONS|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
Depreciation Calculations using the Straight-Line Method|||||||||||||||||||||||
     Depreciation Factor|||||||||||||||||||||||
|||||||||||||||||||||||
     Depreciation Expense|Cost/period||263553|263553|263553|263553|263553|263553|263553|263553|263553|263553|0|0|0|0|0|0|0|0|0|0|
|||2.63553e+006||||||||||||||||||||
|||||||||||||||||||||||
Depreciation Calculations using the Sum of the Digits Method|||||||||||||||||||||||
     Sum of the Digits| ||55||||||||||||||||||||
|||||||||||||||||||||||
     Depreciation Expense|Cost/period||479187|431268|383350|335431|287512|239594|191675|143756|95837.4|47918.7|0|0|0|0|0|0|0|0|0|0|
|||2.63553e+006||||||||||||||||||||
|||||||||||||||||||||||
Depreciation Calculations using the Double Declining Balance Method||| ||||||||||||||||||||
     Depreciation Factor|||0.2||||||||||||||||||||
|||||||||||||||||||||||
     Straight Line Depreciation|Cost/period||329441|292837|263553|240963|224898|215903|215903|215903|215903|215903|0|0|0|0|0|0|0|0|0|0|
     Double Declining Balance|Cost/period||658882|527106|421685|337348|269878|215903|172722|138178|110542|88433.7|0|0|0|0|0|0|0|0|0|0|
     Remaining Book Value after Double Declining Balance|Cost/period|3.29441e+006|2.63553e+006|2.10842e+006|1.68674e+006|1.34939e+006|1.07951e+006|863610|690888|552710|442168|353735|0|0|0|0|0|0|0|0|0|0|
     Depreciation Expense|Cost/period||658882|527106|421685|337348|269878|215903|215903|215903|215903|215903|0|0|0|0|0|0|0|0|0|0|
|||3.29441e+006||||||||||||||||||||
|||||||||||||||||||||||
 Depreciation Calculations using the Accelerated Cost Recovery System||| ||||||||||||||||||||
     Total Percent Depreciated||||0.1|0.28|0.424|0.5392|0.63136|0.705088|0.76407|0.811256|0.849005|0.879204|0|0|0|0|0|0|0|0|0|
     Depreciation Factor|0.2||0.1|0.18|0.144|0.1152|0.09216|0.073728|0.0589824|0.0471859|0.0377487|0.030199|0.0241592|0|0|0|||||||
|||||||||||||||||||||||
     Straight Line Depreciation|Cost/period||329441|312102|279056|253011|233548|220809|215903|215903|215903|215903|107951|0|0|0|0|0|0|0|0|0|
     Double Declining Balance|Cost/period||329441|592994|474395|379516|303613|242890|194312|155450|124360|99487.9|79590.3|0|0|0|0|0|0|0|0|0|
     Remaining Book Value after Double Declining  Balance|Cost/period|3.29441e+006|2.96497e+006|2.37198e+006|1.89758e+006|1.51806e+006|1.21445e+006|971561|777249|621799|497439|397951|318361|0|0|0|0|0|0|0|0|0|
     Depreciation Expense|Cost/period||329441|592994|474395|379516|303613|242890|215903|215903|215903|215903|107951|0|0|0|0|0|0|0|0|0|
|||3.29441e+006||||||||||||||||||||
